Month,RowID,Response ID,"Overall, how satisfied are you with your experience living on campus at SDSU in the last 30 days?",Please explain why you are not satisfied with your experience living on campus at SDSU:,Front Desk,Wepa Printing Kiosk,Laundry Facilities,"Outdoor Recreation Facilities (pool, patio, fire pit, etc.)",The UPS Store,Streeme TV or Cable,WiFi,Residential Bike Storage and Bike Racks,Surfboard Storage,Community Study Areas,Community Kitchens,Vending Machines,Have you utilized a STAR Center in the last 30 days?,Please explain why you are not using the Star Center:,"Cleanliness of your residential community common areas (bathrooms, laundry rooms, hallways, lounges)","Maintenance of your residential community (furniture, utilities, appliances)","Amenities of your residential community (i.e., wifi, lounges, furniture, laundry, outdoor recreational spaces)","Please explain why you are unsatisfied with the Cleanliness, Maintenance, or Amenities of your residential community:",Within your residential community,Overall on campus,"Off campus, but within 1 mile of the university",Please tell us how the safety conditions on campus can be improved:,Have you submitted a service request in the last 30 days?,Please select the reason for why you have not submitted a service request in the last 30 days: - Selected Choice,"Other, please specify Text for why you have not submitted a service request in the last 30 days","To what degree do you agree or disagree with the following statement? I consider the responsibility of keeping the communal areas (bathrooms, laundry rooms, hallways, lounge) tidy as a shared responsibility amongst residents.",How many total people live in your suite or apartment unit?,"In the last 30 days, how would you describe your relationship with your roommate(s)? - Selected Choice","Other, please specify Text for how would you describe your relationship with your roommate(s) in last 30 days?",I initiate open communication and discussion,I seek advice from my parents or family,I use the Shared Living Agreement to guide discussion/conversation,I seek assistance from my student leader (RA or CA),I seek assistance from my residence hall coordinator (RHC),I have submitted a room switch request due to a roommate conflict,"I avoid conflict or confrontation, so I don't address the issue.",My roommate(s) and I do not have any conflicts,"You have indicated you have not reached out for support from your Residence Hall Coordinator (RHC) or student leader (RA or CA), please tell us why:","Feeling a sense of belonging within the university community (Sense of belonging is the feeling that we have satisfied our emotional need to belong to a community or group because we feel accepted, included, respected, and supported by a group)",Forming meaningful connections and friendships with other students within the university community,Feeling the university supports my personal and academic development,How can we improve your sense of belonging within the university community?,Attended a floor event or program,Participated in Hall/Community Council or an RHA event,Participated in an affinity group event,Why didn't you participate in activities or events in your residential community?,Attended a campus event,Participated in a campus club or organization,Participated in Greek life,Participated in undergraduate research,Participated in an internship on campus,Participated in an internship off campus,Worked a job on campus,Worked a job off campus,Participated in a religious or spiritual group,Participated in a volunteer or community service organization,Other for have you participated in the following extracurricular activities or events In the last 30 days?,"Other, please specify te for have you participated in the following extracurricular activities or events In the last 30 days?",Fellow students in my residential community,Student leaders (RA or CA),Residence Hall Coordinator (RHC),Coordinated Care Advisor (CCA),One-on-one meetings with professors or instructors,Major or program advisor,Classmates or fellow students in my program or courses,"Campus staff (administrative, support, or service staff)","Eat at an on campus eatery (Food trucks, restaurants, food court)",Prepared a meal on my own,Eat with friends,Eat alone,how confident are you that you can make healthy food choices?,"how confident are you in preparing a nutritious, healthy meal for yourself?","Have you reached out to Well-being & Health Promotion for nutritional resources? If not, why not?",How would you rate your mental health during the last 30 days?,"Have you reached out to SDSU Counseling and Psychological Services for mental health resources? If not, why not?",How would you rate your physical health during the last 30 days?,"Have you reached out to Student Health Services for physical health resources? If not, why not?","In the last 30 days, have you been physically ill (e.g., flu, cold, etc.)?",Did you receive a medical diagnosis for your illness?,Hall,State,Country,Residency,RLC_Updated,RLC_GroupCoded,Coded_RoomType,Coded_ClassLevel,Classification,Gender,Type of Building,AttendStatus
October,337,R_3egkAMac034CqpK,Unsatisfied,Chapultepec is almost unlivable. The bathrooms are rarely cleaned. We‚re always out of paper towels and soap and one paper towel dispenser has been destroyed since the first day and never fixed. Most of the washing machines and dryers don't work and take your money and we‚ve all sent service requests for them. Everybody is sick with how much mold is in the vents that we breathe in everyday. The air condition is always going out.,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Did not answer,Unsatisfied,Unsatisfied,Unsatisfied,I have been charged so many times for broken washing machines and dryers that don't work and have sent service request. After people send requests there‚s no signs saying the machine doesn‚t work so more and more people just get charged. Our bathrooms are rarely cleaned. There was trash and underwear on the bathroom floor that was there for 2 weeks at one point. We‚re always out of soap and the paper towel dispenser has been broken since the first day.,Neutral,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Neutral,Neutral,Did not answer,No,No,No,Did not answer,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,6-10 Times,1-5 Times,6-10 Times,5,5,Did not answer,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,705,R_xornFyppvt4HUpb,Neutral,Did not answer,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,"In the dorm building next to us, it's inconveniencing.",Unsatisfied,Satisfied,Satisfied,"Bathrooms are constantly dirty, I find myself picking up paper towels off the floor constantly.",Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Did not answer,Disagree,Agree,Neutral,Not applicable,Not Applicable,No,No,"I never know when they are until it's too late, such as when i‚m busy or off campus.",Yes,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,1-5 Times,6-10 Times,More than 10 Times,3,3,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,LA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,399,R_33BBLmxSapCfwNG,Satisfied,Did not answer,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,I don't really know the purpose of the STAR centers and there isn't one in my building.,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Agree,Agree,Agree,Did not answer,Yes,No,No,I've been very busy lately with schoolwork.,Yes,No,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,More than 10 Times,5,5,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zura,CA,United States of America,California Resident,Weber Honors College,Residential Learning Communities,Single,Freshman,New,F,First Year,ATTENDING
October,670,R_2AMrJiKXp73lPPS,Satisfied,Did not answer,Yes,No,Yes,No,Not Applicable,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,i have not felt the need for academic help.,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,I have not run into a situation that i need to contact my RA yet,Agree,Agree,Agree,Did not answer,Yes,No,No,i was not aware of any.,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,401,R_x02nC9ndkv7s0dH,Satisfied,Did not answer,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,I didn't know they existed.,Unsatisfied,Neutral,Satisfied,Cleanliness is a problem because other residents have no respect for shared living areas.,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,I have reached out to my RA and she has been helpful.,Disagree,Disagree,Agree,Not sure,Yes,Yes,No,I did,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,More than 10 Times,1-5 Times,6-10 Times,More than 10 Times,2,2,I have and my knowledge of how to eat healthy is not the problem.  It is the price of doing so with inflated food prices of healthy foods.,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,753,R_1mXxJxsYmiQGm5D,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Unsure of what that is,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I just have not went to an affinity group meeting.,Yes,No,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,Yes,No,No,Yes,Yes,No,More than 10 Times,0 Times,More than 10 Times,1-5 Times,3,2,I have not. I still feel as I am a healthy person,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Olmeca,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,NOT ENROLLED
October,529,R_2wyODPcbO3G2tK0,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Did not answer,Neutral,Neutral,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,wasnt able to make it,Yes,No,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,0 Times,3,3,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,930,R_2CZDqUgRFcjUyb3,Satisfied,Did not answer,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,No,I don't know what it is,Neutral,Neutral,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,No,No,No,Did not answer,No,Yes,No,No,No,No,No,No,Yes,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,1-5 Times,3,2,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zura,CO,United States of America,Out of State,Weber Honors College,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,665,R_2TTaahLEe7AbpVP,Satisfied,Did not answer,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,"I know it exists but don't really know where. Also, the tutoring in the library and GMCS is sufficient.",Satisfied,Neutral,Satisfied,Did not answer,Safe,Neutral,Unsafe,Walking around alone at night can be a bit scary so maybe improving lighting around campus and video cameras to deter criminal behavior.,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,My roommates agreed in the beginning of the year to just talk out any issues we have with each other and it works for us. Going to an RA would make the issues worse because it would escalate the issue to an unnecessary degree.,Agree,Agree,Agree,Did not answer,No,No,Yes,"My floor events are usually durning my honor classes or other classes that I have this semester. Also, I've been too the dorm wide events/ honor events in the lobby just not the floor events.",Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,Yes,More than 10 Times,0 Times,More than 10 Times,More than 10 Times,2,4,I haven't because I didn't know this existed on campus but its really cool to learn about it now.,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zura,CA,United States of America,California Resident,Weber Honors College,Residential Learning Communities,Triple,Sophomore,New,F,First Year,ATTENDING
October,650,R_3egbCXMMG3ambgI,Neutral,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Have not needed it,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,have not needed to,Agree,Agree,Agree,Did not answer,Yes,Yes,No,busy,Yes,No,Yes,No,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,Yes,No,Yes,No,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,1-5 Times,5,2,I can make healthy choices but cooking is very difficult in the community kitchen,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Chapultepec,CO,United States of America,Out of State,Physical Fitness,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,209,R_2B5016uzbkh9rQQ,Neutral,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,Not Applicable,No,No,No,No,Not too sure,Neutral,Satisfied,Neutral,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Not sure what i would say exactly to them,Neutral,Disagree,Agree,nothing,Yes,Yes,Yes,Did not answer,Yes,No,No,No,No,No,No,No,Not Applicable,No,Did not answer,Did not answer,Yes,Yes,Not Applicable,No,No,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,4,3,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,NOT ENROLLED
October,263,R_12bZSmLDnRA3e1L,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,I dont have time,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Unsafe,There are lots of homeless people who roam around the campus who I feel like could be dangerous to my safety at night,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Did not answer,Agree,Neutral,Agree,Did not answer,No,No,No,I dont have time,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,2,2,"No, because I feel like I know what healthy foods I should be eating",Good,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Freshman,New,F,First Year,ATTENDING
October,297,R_swkAF9IqcF9d1D3,Neutral,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,I am unaware what it is.,Unsatisfied,Neutral,Neutral,"The bathroom floors are usually flooded with water, there is excess hair everywhere, and a lack of paper towels.",Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,I have not needed to.,Agree,Agree,Agree,Did not answer,No,No,No,Busy with homework,Yes,No,Yes,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,6-10 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Sophomore,New,F,First Year,ATTENDING
October,528,R_33kBMQcbARIIOgG,Satisfied,Did not answer,No,Yes,Yes,Yes,Yes,No,No,Not Applicable,Not Applicable,Yes,Yes,No,Yes,Did not answer,Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,There has been no need to.,Agree,Agree,Agree,Did not answer,No,No,No,Too busy or they do not apply to me.,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,No,No,Yes,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,5,5,Did not answer,Good,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tenochca,CA,United States of America,California Resident,Nursing,Residential Learning Communities,Triple,Sophomore,New,F,First Year,ATTENDING
October,141,R_RV4PMcP4viyARd7,Satisfied,Did not answer,No,No,Yes,Yes,No,Yes,Yes,No,No,Not Applicable,Yes,Not Applicable,Yes,Did not answer,Neutral,Satisfied,Unsatisfied,I am unsatisfied with the laundry room in my dorm. Many of the machines do not work and that is inconvenient.,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Did not answer,Neutral,Agree,Agree,Did not answer,No,No,No,I had other events to go too. I also wanted to do homework.,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,6-10 Times,1-5 Times,1-5 Times,More than 10 Times,4,3,Did not answer,Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Maya,CA,United States of America,California Resident,Journalism & Media Studies,Residential Learning Communities,Triple,Sophomore,New,F,First Year,ATTENDING
October,273,R_3ZP1LMuPVjMEkgN,Satisfied,Did not answer,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I dont know what it is,Unsatisfied,Neutral,Unsatisfied,The bathrooms are gross,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,I dont need to,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I was busy,Yes,Yes,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,More than 10 Times,4,3,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,165,R_9oZDyqBCrLE7Lrj,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Not Applicable,Yes,Yes,No,No,I do not know what it is.,Neutral,Neutral,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Haven't had any issues with roommates.,Agree,Agree,Agree,Did not answer,Yes,Yes,Not Applicable,Did not answer,No,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,5,3,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zura,VA,United States of America,Out of State,Weber Honors College,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,315,R_2BhDhByBb0jpPHb,Neutral,Did not answer,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,haven't felt the need to do so.,Satisfied,Neutral,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Unsatisfied, most of us don't get along well, and we usually are not able to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Did not answer,Neutral,Neutral,Neutral,Did not answer,No,No,No,Had class.,Yes,No,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,More than 10 Times,6-10 Times,More than 10 Times,4,4,Did not answer,Poor,"No, I don't feel comfortable sharing the information with them.",Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Chapultepec,CA,United States of America,California Resident,Health and Healing,Residential Learning Communities,Triple,Freshman,New,M,First Year,ATTENDING
October,542,R_12MyxsKVji1b5cJ,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,I am not sure what or where the star center is,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Olmeca,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,36,R_9HNWiP26CqIs3yp,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,not needed,Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,not needed,Agree,Agree,Agree,Did not answer,Yes,Yes,Not Applicable,Did not answer,Yes,No,Not Applicable,No,No,No,No,No,Did not answer,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,6-10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,University Towers,MA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Freshman,New,F,First Year,ATTENDING
October,664,R_2ePAd79ctN3HOyq,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,Not Applicable,No,No,No,No,I do not know what to ask them and how they can help me.,Neutral,Neutral,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Did not answer,Agree,Neutral,Agree,Did not answer,Yes,No,Not Applicable,I did participate in my floor social. I did not participate in any hall council events. I am not part of an affinity group.,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Did not answer,Did not answer,Yes,No,No,No,Yes,No,No,No,More than 10 Times,0 Times,6-10 Times,More than 10 Times,4,4,Did not answer,Poor,I just overthink all of my assignments and still trying to adjust to the work load. I have been trying to improve and create more time for myself. I have met a few friends but it has been hard for me.,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,University Towers,CA,United States of America,Out of State,Substance Free,Thematic Living Communities,Double,Sophomore,New,F,First Year,ATTENDING
October,225,R_2y7ofpqm672UDy0,Satisfied,Did not answer,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,I‚m not sure what that is,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,I‚m not sure who my RHC is,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I‚m busy,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Huaxyacac,PA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Quad,Freshman,New,F,First Year,ATTENDING
October,975,R_1jiyTckJ7BFTH0Z,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Help for my Math course is not provided at the STAR Center and that's my only class that I'd really need help in. (MATH 254 in case someone reads this and wants to know),Unsatisfied,Satisfied,Neutral,"It's almost entirely because of other residents who leave a mess in the bathroom. Theres constantly hair clogging up the shower drain, someone keeps leaving floss picks in the shower, and the other night someone poured out a rotten protein shake in the sink and the bathroom reeked for hours. The custodial staff are heroes and deserve endless praise for what they deal with.",Safe,Safe,Safe,Did not answer,No,"Other, please specify:","Usually, any hall maintenance needs are brought up with our RA, and she submits the request for us.",Agree,"3, including myself","Other, please specify","Satisfied with one of my roommates, neutral with the other. I definitely pick favorites!",Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,"Any disagreements or serious conversations between my roommates and I have been settled together civilly, and we haven't needed to seek out any outside help.",Neutral,Neutral,Neutral,Did not answer,Yes,No,Not Applicable,"I participated in hall activities, but I haven't participated in Hall Council because I've been really busy and don't fully know how Hall Council works",Yes,Yes,No,Yes,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,Yes,More than 10 Times,1-5 Times,6-10 Times,More than 10 Times,4,3,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Sophomore,New,M,First Year,NOT ENROLLED
